Character 	Meaning
\0 	        Null Byte
\b 	        Backspace
\f 	        Form Feed
\n 	        New Line
\r 	        Carriage Return
\t 	        Tab
\v 	        Vertical tab
\' 	        Apostrophe or single quote
\" 	        Double quote
\\ 	        Backslash character
\XXX 	    The character with the Latin-1 encoding specified by up to three octal digits XXX between 0 and 377. For example, \251 is the octal sequence for the copyright symbol.
\xXX 	    The character with the Latin-1 encoding specified by the two hexadecimal digits XX between 00 and FF. For example, \xA9 is the hexadecimal sequence for the copyright symbol.
\uXXXX 	    The Unicode character specified by the four hexadecimal digits XXXX. For example, \u00A9 is the Unicode sequence for the copyright symbol. See Unicode escape sequences.
\u{XXXXX} 	Unicode code point escapes. For example, \u{2F804} is the same as the simple Unicode escapes \uD87E\uDC04.
